series,economy,period,value,unit,source_id
Bank loans,China,2002,100.9,percent of GDP,afre_channels
Off-balance-sheet financing,China,2002,5.0,percent of GDP,afre_channels
Market-based direct financing,China,2002,6.0,percent of GDP,afre_channels
Other forms of financing,China,2002,9.5,percent of GDP,afre_channels
Bank loans,China,2003,108.7,percent of GDP,afre_channels
Off-balance-sheet financing,China,2003,6.4,percent of GDP,afre_channels
Market-based direct financing,China,2003,6.3,percent of GDP,afre_channels
Other forms of financing,China,2003,10.2,percent of GDP,afre_channels
Bank loans,China,2004,105.6,percent of GDP,afre_channels
Off-balance-sheet financing,China,2004,7.2,percent of GDP,afre_channels
Market-based direct financing,China,2004,5.7,percent of GDP,afre_channels
Other forms of financing,China,2004,7.0,percent of GDP,afre_channels
Bank loans,China,2005,103.3,percent of GDP,afre_channels
Off-balance-sheet financing,China,2005,6.7,percent of GDP,afre_channels
Market-based direct financing,China,2005,6.1,percent of GDP,afre_channels
Other forms of financing,China,2005,3.0,percent of GDP,afre_channels
Bank loans,China,2006,102.2,percent of GDP,afre_channels
Off-balance-sheet financing,China,2006,8.2,percent of GDP,afre_channels
Market-based direct financing,China,2006,6.8,percent of GDP,afre_channels
Other forms of financing,China,2006,2.7,percent of GDP,afre_channels
Bank loans,China,2007,96.9,percent of GDP,afre_channels
Off-balance-sheet financing,China,2007,11.0,percent of GDP,afre_channels
Market-based direct financing,China,2007,7.9,percent of GDP,afre_channels
Other forms of financing,China,2007,2.6,percent of GDP,afre_channels
Bank loans,China,2008,96.8,percent of GDP,afre_channels
Off-balance-sheet financing,China,2008,11.9,percent of GDP,afre_channels
Market-based direct financing,China,2008,9.4,percent of GDP,afre_channels
Other forms of financing,China,2008,0.2,percent of GDP,afre_channels
Bank loans,China,2009,117.2,percent of GDP,afre_channels
Off-balance-sheet financing,China,2009,15.4,percent of GDP,afre_channels
Market-based direct financing,China,2009,13.0,percent of GDP,afre_channels
Other forms of financing,China,2009,0.5,percent of GDP,afre_channels
Bank loans,China,2010,118.7,percent of GDP,afre_channels
Off-balance-sheet financing,China,2010,22.4,percent of GDP,afre_channels
Market-based direct financing,China,2010,15.1,percent of GDP,afre_channels
Other forms of financing,China,2010,0.7,percent of GDP,afre_channels
Bank loans,China,2011,116.3,percent of GDP,afre_channels
Off-balance-sheet financing,China,2011,23.0,percent of GDP,afre_channels
Market-based direct financing,China,2011,16.4,percent of GDP,afre_channels
Other forms of financing,China,2011,0.8,percent of GDP,afre_channels
Bank loans,China,2012,121.7,percent of GDP,afre_channels
Off-balance-sheet financing,China,2012,26.6,percent of GDP,afre_channels
Market-based direct financing,China,2012,19.6,percent of GDP,afre_channels
Other forms of financing,China,2012,1.0,percent of GDP,afre_channels
Bank loans,China,2013,125.9,percent of GDP,afre_channels
Off-balance-sheet financing,China,2013,32.0,percent of GDP,afre_channels
Market-based direct financing,China,2013,21.2,percent of GDP,afre_channels
Other forms of financing,China,2013,1.3,percent of GDP,afre_channels
Bank loans,China,2014,131.2,percent of GDP,afre_channels
Off-balance-sheet financing,China,2014,33.3,percent of GDP,afre_channels
Market-based direct financing,China,2014,23.9,percent of GDP,afre_channels
Other forms of financing,China,2014,1.5,percent of GDP,afre_channels
Bank loans,China,2015,138.3,percent of GDP,afre_channels
Off-balance-sheet financing,China,2015,32.0,percent of GDP,afre_channels
Market-based direct financing,China,2015,27.7,percent of GDP,afre_channels
Other forms of financing,China,2015,1.5,percent of GDP,afre_channels
Bank loans,China,2016,143.7,percent of GDP,afre_channels
Off-balance-sheet financing,China,2016,31.2,percent of GDP,afre_channels
Market-based direct financing,China,2016,31.6,percent of GDP,afre_channels
Other forms of financing,China,2016,1.4,percent of GDP,afre_channels
Bank loans,China,2017,145.3,percent of GDP,afre_channels
Off-balance-sheet financing,China,2017,32.2,percent of GDP,afre_channels
Market-based direct financing,China,2017,30.5,percent of GDP,afre_channels
Other forms of financing,China,2017,38.3,percent of GDP,afre_channels
Bank loans,China,2018,148.1,percent of GDP,afre_channels
Off-balance-sheet financing,China,2018,26.0,percent of GDP,afre_channels
Market-based direct financing,China,2018,30.0,percent of GDP,afre_channels
Other forms of financing,China,2018,41.6,percent of GDP,afre_channels
Bank loans,China,2019,155.0,percent of GDP,afre_channels
Off-balance-sheet financing,China,2019,22.4,percent of GDP,afre_channels
Market-based direct financing,China,2019,31.1,percent of GDP,afre_channels
Other forms of financing,China,2019,45.0,percent of GDP,afre_channels
Bank loans,China,2020,170.5,percent of GDP,afre_channels
Off-balance-sheet financing,China,2020,20.5,percent of GDP,afre_channels
Market-based direct financing,China,2020,35.2,percent of GDP,afre_channels
Other forms of financing,China,2020,53.3,percent of GDP,afre_channels
Bank loans,China,2021,168.6,percent of GDP,afre_channels
Off-balance-sheet financing,China,2021,15.9,percent of GDP,afre_channels
Market-based direct financing,China,2021,34.3,percent of GDP,afre_channels
Other forms of financing,China,2021,54.5,percent of GDP,afre_channels
