series,economy,period,value,unit,source_id
Listed domestic companies market capitalization,China,2003,30.46,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2004,22.56,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2005,17.34,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2006,41.03,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2007,124.27,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2008,38.11,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2009,68.85,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2010,65.04,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2011,44.48,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2012,42.63,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2013,40.53,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2014,56.25,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2015,72.58,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2016,63.90,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2017,69.48,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2018,44.71,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2019,58.86,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2020,81.86,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2021,79.32,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2022,62.62,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2023,59.86,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2024,62.77,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,China,2025,79.54,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,1995,62.86,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,1996,60.14,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,1997,45.53,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,1998,58.78,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,1999,95.02,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2000,62.61,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2001,51.02,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2002,48.74,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2003,64.57,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2004,72.00,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2005,93.79,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2006,99.27,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2007,93.65,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2008,60.38,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2009,61.95,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2010,65.86,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2011,52.96,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2012,54.92,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2013,86.17,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2014,87.81,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2015,107.95,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2016,96.97,percent of GDP,market_cap_gdp
Listed domestic companies market capitalization,Japan,2017,123.51,percent of GDP,market_cap_gdp
