dataset_id,source_institution,source_url,retrieved_on,definition,frequency,unit,coverage,notes,figure_number,pdf_page,crop_scope,interpretation_boundary
bond_market_growth,NAFMII / People's Bank of China,https://www.nafmii.org.cn/englishnew/overseasparticipation/pandabond/resources/202504/P020250423396158840864.pdf,2026-07-10,Outstanding debt securities in China's total and interbank bond markets,annual,RMB trillion,"China, 2013-2024","Figure 1-4 retained as official visual evidence; end-2024 totals are 177.0 and 155.8; intermediate bars are not reverse-engineered into numeric observations"
bond_market_international,NAFMII / Bank for International Settlements,https://www.nafmii.org.cn/englishnew/overseasparticipation/pandabond/resources/202504/P020250423396158840864.pdf,2026-07-10,Outstanding debt securities by economy at end-Q2 2024,point in time,USD billion,"United States, China, Japan, France, United Kingdom, Germany, Canada, Italy","Figure 1-5 establishes China's second-place absolute scale; chart values are not transcribed because the publication does not print data labels"
bond_composition,People's Bank of China,https://cif.mofcom.gov.cn/cif/html/upload/20251201140144995_2025%E5%B9%B410%E6%9C%88%E4%BB%BD%E9%87%91%E8%9E%8D%E5%B8%82%E5%9C%BA%E8%BF%90%E8%A1%8C%E6%83%85%E5%86%B5.pdf,2026-07-10,Selected bond custody balances by instrument category,monthly stock,RMB trillion,"China, end-October 2025","Categories shown sum to 193.4 versus reported total 194.6 because small residual categories are omitted"
bond_venues,People's Bank of China,https://cif.mofcom.gov.cn/cif/html/upload/20251201140144995_2025%E5%B9%B410%E6%9C%88%E4%BB%BD%E9%87%91%E8%9E%8D%E5%B8%82%E5%9C%BA%E8%BF%90%E8%A1%8C%E6%83%85%E5%86%B5.pdf,2026-07-10,Bond custody balances and monthly cash-bond turnover by venue,monthly stock and flow,RMB trillion,"China, end/during October 2025","Custody and turnover are different measures and are labelled separately"
interbank_investors,NAFMII / CCDC / SHCH,https://www.nafmii.org.cn/englishnew/overseasparticipation/pandabond/resources/202504/P020250423396158840864.pdf,2026-07-10,Share of China Interbank Bond Market holdings by investor group,point in time,percent,"China, end-November 2024","Four exhaustive categories from Figure 1-6"
market_cap_gdp,World Bank World Development Indicators,https://api.worldbank.org/v2/country/CHN;USA;JPN/indicator/CM.MKT.LCAP.GD.ZS,2026-07-10,Market capitalization of listed domestic companies divided by GDP,annual,percent of GDP,"China, United States, Japan; 1995-2025 where populated","Audited observations are stored in data/lecture1/market_cap_gdp.csv and reused without alteration; end-year values; cross-country comparability has conceptual and reporting limitations"
stock_connect,HKEX,https://www.hkexgroup.com/Media-Centre/Insight/Insight/2026/HKEX-Insight/Stock-Connect-2025-Review?sc_lang=en,2026-07-11,Northbound and Southbound Stock Connect average daily turnover,annual,RMB billion (Northbound); HKD billion (Southbound),"2014-2025","HKEX's 2025 Review prints complete annual tables for both directions; 2014 is the launch-year partial period; no interpolation"
private_funds,Asset Management Association of China,https://www.amac.org.cn/sjtj/tjbg/smjj/202601/P020260126611919011850.pdf,2026-07-10,Surviving registered private funds and managed assets by category,monthly stock,RMB trillion; fund count,"China, end-December 2025","AUM is a registered stock, not annual investment; the three displayed categories omit small residual/special categories"
ai_finance_use_cases,Bank for International Settlements,https://www.bis.org/review/r250728m.htm,2026-07-10,Examples and adoption evidence for AI use in financial services and supervision,descriptive and survey evidence,percent; qualitative,"Italy and cross-functional financial use cases, 2023-2025","About three-quarters of significant Italian banks used AI/big-data creditworthiness tools and another 10 percent had projects under development; not a global adoption rate"
man_machine_forecasts,National Bureau of Economic Research,https://www.nber.org/papers/w28800.pdf,2026-07-10,Relative forecast performance of analysts versus an AI ensemble and a hybrid model,out-of-sample forecast comparison,beat rate percent,"United States; I/B/E/S target-price forecasts; 2001-2016","Researcher-built 2021-era ensemble predicts calendar year-end stock price; 53.7% is the final ensemble Table 2 beat ratio and 57.3%/56.6% compare the hybrid with human/AI-only forecasts; results do not generalise automatically to current AI or all knowledge work"
